Rank,Title,Nation,Date,Genre,Director,Cast
1,Bridgerton,United States,12/25/2020,History,N/A,N/A
2,Money Heist,Spain,05/02/2017,Action,N/A,N/A
3,Lucifer,United States,01/25/2016,Superhero,N/A,N/A
4,Lupin,France,01/08/2021,Crime,N/A,N/A
5,Stranger Things,United States,07/15/2016,Thriller,N/A,N/A
6,Squid Game,South Korea,09/17/2021,Thriller,N/A,N/A
7,Emily in Paris,United States,10/02/2020,Drama,N/A,N/A
8,Wednesday,United States,11/23/2022,Fantasy,N/A,N/A
9,The Witcher,United States,12/20/2019,Fantasy,N/A,N/A
10,Ginny & Georgia,United States,02/24/2021,Drama,N/A,N/A
11,The Queen's Gambit,United States,10/23/2020,Drama,N/A,N/A
12,Cobra Kai,United States,05/02/2018,Action,N/A,N/A
13,Too Hot to Handle,United States,04/17/2020,Reality-Show,N/A,N/A
14,You,United States,09/09/2018,Crime,N/A,N/A
15,Elite,Spain,10/05/2018,Crime,N/A,N/A
16,Sex/Life,United States,06/25/2021,Drama,N/A,N/A
17,Virgin River,United States,12/06/2019,Drama,N/A,N/A
18,Sex Education,United States,01/11/2019,Comedy,N/A,N/A
19,The Umbrella Academy,United States,02/15/2019,Superhero,N/A,N/A
20,The Lincoln Lawyer,United States,05/13/2022,Drama,N/A,N/A
21,Never Have I Ever,United States,04/27/2020,Comedy,N/A,N/A
22,The Night Agent,United States,03/23/2023,Action,N/A,N/A
23,Who Killed Sara?,Mexico,03/24/2021,Crime,N/A,N/A
24,Vikings: Valhalla,United States,02/25/2022,History,N/A,N/A
25,Love Is In The Air,Turkey,07/08/2020,Comedy,N/A,N/A
26,Sweet Tooth,United States,06/04/2021,Superhero,N/A,N/A
27,Inventing Anna,United States,02/11/2022,Drama,N/A,N/A
28,Dahmer – Monster: The Jeffrey Dahmer Story,United States,09/21/2022,Crime,N/A,N/A
29,The Gentlemen,United Kingdom,03/07/2024,Comedy,N/A,N/A
30,Snowpiercer,United States,05/17/2020,Science Fiction,N/A,N/A
31,Outer Banks,United States,04/15/2020,Drama,N/A,N/A
32,Firefly Lane,United States,02/03/2021,Drama,N/A,N/A
33,Maid,United States,10/01/2021,Drama,N/A,N/A
34,Ozark,United States,07/21/2017,Drama,N/A,N/A
35,Shadow and Bone,United States,04/23/2021,Fantasy,N/A,N/A
36,Dark Desire,Mexico,07/15/2020,Drama,N/A,N/A
37,Queen Charlotte: A Bridgerton Story,United States,05/04/2023,Drama,N/A,N/A
38,Dynasty,United States,10/11/2017,Drama,N/A,N/A
39,All of Us Are Dead,South Korea,01/28/2022,Horror,N/A,N/A
40,ONE PIECE,United States,08/31/2023,Fantasy,N/A,N/A
21,The Marked Heart,Colombia,04/20/2022,Thriller,N/A,N/A
22,Extraordinary Attorney Woo,South Korea,06/29/2022,Drama,N/A,N/A
23,The Queen of Flow,Colombia,06/12/2018,Drama,N/A,N/A
24,The Glory,South Korea,12/30/2022,Thriller,N/A,N/A
25,The Sandman,United States,08/05/2022,Superhero,N/A,N/A
26,Avatar: The Last Airbender,United States,02/22/2024,Fantasy,N/A,N/A
27,Berlin,Spain,12/29/2023,Crime,N/A,N/A
28,Griselda,United States,01/25/2024,Crime,N/A,N/A
29,King the Land,South Korea,06/17/2023,Comedy,N/A,N/A
30,Dear Child,Germany,09/07/2023,Crime,N/A,N/A
31,3 Body Problem,United States,03/21/2024,Science Fiction,N/A,N/A
32,My Demon,South Korea,11/24/2023,Drama,N/A,N/A
33,Physical: 100,South Korea,01/24/2023,Reality-Show,N/A,N/A
34,Queen of Tears,South Korea,03/09/2024,Drama,N/A,N/A
35,Business Proposal,South Korea,02/28/2022,Drama,N/A,N/A
36,Alice in Borderland,Japan,12/10/2020,Thriller,N/A,N/A
37,My Life with the Walter Boys,United Kingdom,12/07/2023,Drama,N/A,N/A
38,Supacell,United Kingdom,06/27/2024,Science Fiction,N/A,N/A
39,The Tailor,Turkey,05/02/2023,Thriller,N/A,N/A
40,1899,Germany,11/17/2022,Science Fiction,N/A,N/A
41,Selling Sunset,United States,03/22/2019,Reality-Show,N/A,N/A
42,Perfect Match,United States,02/14/2023,Reality-Show,N/A,N/A
43,Behind Her Eyes,United Kingdom,02/17/2021,Crime,N/A,N/A
44,Welcome to Eden,Spain,05/06/2022,Science Fiction,N/A,N/A
45,Arcane,United States,11/06/2021,Animation,N/A,N/A
46,Ragnarok,Norway,01/31/2020,Fantasy,N/A,N/A
47,Jurassic World Camp Cretaceous,United States,09/18/2020,Animation,N/A,N/A
48,Warrior Nun,United States,07/02/2020,Fantasy,N/A,N/A
49,Fake Profile,Colombia,05/31/2023,Drama,N/A,N/A
50,The Watcher,United States,10/13/2022,Thriller,N/A,N/A
51,Ratched,United States,09/18/2020,Drama,N/A,N/A
52,Hometown Cha-Cha-Cha,South Korea,08/28/2021,Comedy,N/A,N/A
53,All the Light We Cannot See,United States,11/02/2023,Drama,N/A,N/A
54,I Woke Up a Vampire,Canada,10/17/2023,Comedy,N/A,N/A
55,Obliterated,United States,11/30/2023,Action,N/A,N/A
56,Raising Voices,Spain,05/31/2024,Drama,N/A,N/A
57,Dark,Germany,12/01/2017,Thriller,N/A,N/A
58,FUBAR,United States,05/25/2023,Action,N/A,N/A
59,From Scratch,United States,10/21/2022,Drama,N/A,N/A
60,The Serpent,United Kingdom,04/02/2021,Crime,N/A,N/A
41,Painkiller,United States,08/10/2023,Drama,N/A,N/A
42,Sweet Magnolias,United States,05/19/2020,Drama,N/A,N/A
43,Doctor Slump,South Korea,01/27/2024,Comedy,N/A,N/A
44,Sexify,Poland,04/28/2021,Drama,N/A,N/A
45,Barbarians,Germany,10/23/2020,History,N/A,N/A
46,The Diplomat,United States,04/20/2023,Drama,N/A,N/A
47,The Haunting of Bly Manor,United States,10/09/2020,Horror,N/A,N/A
48,BEEF,United States,04/06/2023,Comedy,N/A,N/A
49,Strong Girl Nam-soon,South Korea,10/07/2023,Action,N/A,N/A
50,Locke & Key,Canada,02/07/2020,Superhero,N/A,N/A
51,Cursed,United States,07/17/2020,Fantasy,N/A,N/A
52,"XO, Kitty",United States,05/18/2023,Comedy,N/A,N/A
53,A Perfect Story,Spain,07/28/2023,Comedy,N/A,N/A
54,One of Us Is Lying,United States,10/07/2021,Crime,N/A,N/A
55,The Circle,United States,01/01/2020,Reality-Show,N/A,N/A
56,The Asunta Case,Spain,04/26/2024,Crime,N/A,N/A
57,Kaleidoscope,United States,01/01/2023,Crime,N/A,N/A
58,Is It Cake?,United States,03/18/2022,Reality-Show,N/A,N/A
59,Clickbait,United States,08/25/2021,Crime,N/A,N/A
60,A Nearly Normal Family,Sweden,11/24/2023,Crime,N/A,N/A
61,The Innocent,Spain,04/30/2021,Crime,N/A,N/A
62,It's Okay to Not Be Okay,South Korea,06/20/2020,Drama,N/A,N/A
63,Anatomy of a Scandal,United States,04/15/2022,Drama,N/A,N/A
64,PIECES OF HER,United States,03/04/2022,Crime,N/A,N/A
65,Tiny Pretty Things,United States,12/14/2020,Drama,N/A,N/A
66,AlRawabi School for Girls,Jordan,08/12/2021,Drama,N/A,N/A
67,Testament: The Story of Moses,United States,03/27/2024,Documentary,N/A,N/A
68,Sweet Home,South Korea,12/18/2020,Horror,N/A,N/A
69,Locked Up,Spain,04/20/2015,Drama,N/A,N/A
70,Hospital Playlist,South Korea,03/12/2020,Drama,N/A,N/A
71,Harry & Meghan,United States,12/08/2022,Documentary,N/A,N/A
72,Another Self,Turkey,07/28/2022,Drama,N/A,N/A
73,Destined with You,South Korea,08/23/2023,Drama,N/A,N/A
74,Jupiter's Legacy,United States,05/07/2021,Superhero,N/A,N/A
